Date: Tue, 29 Nov 2022 14:05:29 GMT // Url: 127.0.0.1 // Method: GET/api/video/list // Status:403 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:05:29 GMT // Url: 127.0.0.1 // Method: GET/favicon.ico // Status:404 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:06:11 GMT // Url: 127.0.0.1 // Method: GET/api/video/list // Status:403 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:06:11 GMT // Url: 127.0.0.1 // Method: GET/favicon.ico // Status:404 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:06:25 GMT // Url: 127.0.0.1 // Method: GET/api/video/list // Status:403 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:07:54 GMT // Url: 127.0.0.1 // Method: GET/api/video/list // Status:403 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:09:26 GMT // Url: 127.0.0.1 // Method: POST/api/auth/signin // Status:200 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:09:28 GMT // Url: 127.0.0.1 // Method: GET/api/auth/check // Status:200 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:09:29 GMT // Url: 127.0.0.1 // Method: GET/api/relations/dashboards // Status:200 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:09:29 GMT // Url: 127.0.0.1 // Method: GET/api/camera/viewAll // Status:200 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:09:29 GMT // Url: 127.0.0.1 // Method: GET/api/relations/cam/undefined // Status:200 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:09:29 GMT // Url: 127.0.0.1 // Method: GET/api/relations/dashboards // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:09:34 GMT // Url: 127.0.0.1 // Method: GET/api/camera/viewAll // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:09:34 GMT // Url: 127.0.0.1 // Method: GET/api/assets/graymaticsLogo.png // Status:200 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:09:34 GMT // Url: 127.0.0.1 // Method: GET/api/assets/favicon1.ico // Status:200 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:09:34 GMT // Url: 127.0.0.1 // Method: GET/api/assets/favicon1.png // Status:200 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:09:34 GMT // Url: 127.0.0.1 // Method: GET/api/assets/favicon1.ico // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:09:40 GMT // Url: 127.0.0.1 // Method: GET/api/auth/check // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:09:41 GMT // Url: 127.0.0.1 // Method: GET/api/elastic/video/list // Status:200 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:09:41 GMT // Url: 127.0.0.1 // Method: GET/api/relations/all // Status:200 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:09:41 GMT // Url: 127.0.0.1 // Method: GET/api/algorithms // Status:200 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:09:43 GMT // Url: 127.0.0.1 // Method: GET/api/auth/check // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:09:46 GMT // Url: 127.0.0.1 // Method: GET/api/auth/check // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:09:46 GMT // Url: 127.0.0.1 // Method: GET/api/users/branch // Status:200 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:09:47 GMT // Url: 127.0.0.1 // Method: POST/api/incident/timeline // Status:500 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:09:50 GMT // Url: 127.0.0.1 // Method: GET/api/auth/check // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:09:50 GMT // Url: 127.0.0.1 // Method: GET/api/camera/viewAll // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:09:50 GMT // Url: 127.0.0.1 // Method: GET/api/relations/cam/undefined // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:09:50 GMT // Url: 127.0.0.1 // Method: GET/api/relations/dashboards // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:09:50 GMT // Url: 127.0.0.1 // Method: GET/api/camera/viewAll // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:04 GMT // Url: 127.0.0.1 // Method: GET/api/auth/check // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:06 GMT // Url: 127.0.0.1 // Method: GET/api/auth/check // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:07 GMT // Url: 127.0.0.1 // Method: POST/api/incident/timeline // Status:500 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:11 GMT // Url: 127.0.0.1 // Method: GET/api/auth/check // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:12 GMT // Url: 127.0.0.1 // Method: GET/api/elastic/video/list // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:25 GMT // Url: 127.0.0.1 // Method: GET/api/auth/check // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:25 GMT // Url: 127.0.0.1 // Method: GET/api/users/branch // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:28 GMT // Url: 127.0.0.1 // Method: GET/api/auth/check // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:28 GMT // Url: 127.0.0.1 // Method: GET/api/users/remaining // Status:200 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:28 GMT // Url: 127.0.0.1 // Method: GET/api/camera/viewLiveCams // Status:200 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:28 GMT // Url: 127.0.0.1 // Method: GET/api/relations/all // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:28 GMT // Url: 127.0.0.1 // Method: GET/api/algorithms // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:30 GMT // Url: 127.0.0.1 // Method: GET/api/auth/check // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:33 GMT // Url: 127.0.0.1 // Method: GET/api/auth/check // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:33 GMT // Url: 127.0.0.1 // Method: GET/api/camera/viewAll // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:33 GMT // Url: 127.0.0.1 // Method: GET/api/relations/cam/undefined // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:33 GMT // Url: 127.0.0.1 // Method: GET/api/relations/dashboards // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:33 GMT // Url: 127.0.0.1 // Method: GET/api/camera/viewAll // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:38 GMT // Url: 127.0.0.1 // Method: GET/api/auth/check // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:38 GMT // Url: 127.0.0.1 // Method: GET/api/elastic/video/list // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:38 GMT // Url: 127.0.0.1 // Method: GET/api/relations/all // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:38 GMT // Url: 127.0.0.1 // Method: GET/api/algorithms // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:39 GMT // Url: 127.0.0.1 // Method: GET/api/auth/check // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:41 GMT // Url: 127.0.0.1 // Method: GET/api/auth/check // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:42 GMT // Url: 127.0.0.1 // Method: POST/api/incident/timeline // Status:500 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:50 GMT // Url: 127.0.0.1 // Method: GET/api/auth/check // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:50 GMT // Url: 127.0.0.1 // Method: GET/api/elastic/video/list // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:53 GMT // Url: 127.0.0.1 // Method: GET/api/auth/check // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:10:54 GMT // Url: 127.0.0.1 // Method: POST/api/incident/timeline // Status:500 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:14:38 GMT // Url: 127.0.0.1 // Method: GET/api/auth/check // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:14:38 GMT // Url: 127.0.0.1 // Method: GET/api/elastic/video/list // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:14:38 GMT // Url: 127.0.0.1 // Method: GET/api/relations/all // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:14:38 GMT // Url: 127.0.0.1 // Method: GET/api/algorithms // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:14:40 GMT // Url: 127.0.0.1 // Method: GET/api/auth/check // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:14:43 GMT // Url: 127.0.0.1 // Method: GET/api/auth/check // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:14:43 GMT // Url: 127.0.0.1 // Method: GET/api/elastic/video/list // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
Date: Tue, 29 Nov 2022 14:14:48 GMT // Url: 127.0.0.1 // Method: GET/api/auth/check // Status:304 // User-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36
